Gemeinde;Gemeindenummer;Total;Maenner;Frauen;Durchschnittsalter;Maenneranteil_pct;Jugendanteil_pct;Seniorenanteil_pct
Luzein;3891;1689;885;804;44.94;52.4;18.77;25.04
Rhäzüns;3723;1612;843;769;41.83;52.3;21.59;18.8
Zernez;3746;1592;802;790;46.46;50.38;17.02;24.25
Bregaglia;3792;1591;780;811;48.39;49.03;16.22;30.99
Grono;3832;1580;839;741;44.71;53.1;16.52;20.25
Trin;3734;1557;776;781;43.91;49.84;20.17;23.31
Seewis im Prättigau;3972;1450;741;709;43.06;51.1;19.72;19.86
Val Müstair;3847;1430;696;734;51.8;48.67;12.17;34.69
Celerina/Schlarigna;3782;1415;718;697;48.18;50.74;12.72;25.3
Mesocco;3822;1414;742;672;48.68;52.48;14.43;26.8
Albula/Alvra;3542;1354;695;659;47.13;51.33;15.36;24.82
Zuoz;3791;1224;622;602;44.12;50.82;23.69;23.94
Tamins;3733;1223;619;604;45.03;50.61;18.89;23.79
Tujetsch;3986;1199;623;576;49.9;51.96;13.93;32.44
Jenaz;3863;1164;595;569;46.49;51.12;17.35;26.12
Obersaxen Mundaun;3988;1160;595;565;48.53;51.29;16.12;30.69
Trun;3987;1141;568;573;47.88;49.78;15.6;27.17
Silvaplana;3790;1124;588;536;48.87;52.31;12.9;27.94
Brusio;3551;1099;579;520;49.83;52.68;14.38;29.57
Sumvitg;3985;1063;526;537;50.17;49.48;12.51;30.67
Sils im Domleschg;3640;976;487;489;44.11;49.9;20.49;22.34
Jenins;3952;964;492;472;43.36;51.04;18.26;20.44
Safiental;3672;964;502;462;45.8;52.07;19.29;25.62
San Vittore;3835;961;496;465;44.94;51.61;13.53;20.81
Vals;3603;958;507;451;45.83;52.92;15.14;23.9
Andeer;3701;923;435;488;46.96;47.13;19.39;28.49
Küblis;3882;910;454;456;45.64;49.89;18.46;24.07
Bergün Filisur;3544;898;444;454;47.63;49.44;15.26;27.84
Fläsch;3951;879;439;440;43.33;49.94;17.75;18.32
Lostallo;3821;866;455;411;45.37;52.54;15.24;21.36
Scharans;3638;836;403;433;44.25;48.21;20.45;25.24
Valsot;3764;801;407;394;48.04;50.81;16.1;27.97
Sagogn;3581;769;401;368;45.99;52.15;20.29;25.23
Samnaun;3752;750;409;341;46.73;54.53;13.73;21.73
La Punt Chamues-ch;3785;750;375;375;47.89;50.0;13.33;27.87
Cama;3831;720;381;339;44.0;52.92;16.25;18.06
S-chanf;3788;713;375;338;44.89;52.59;16.97;21.74
Sils im Engadin/Segl;3789;708;365;343;44.87;51.55;15.96;19.77
Falera;3572;635;339;296;48.1;53.39;15.43;27.87
Fideris;3861;626;308;318;44.92;49.2;18.53;24.44
Bever;3781;618;294;324;47.42;47.57;15.86;26.05
Schluein;3582;616;338;278;44.57;54.87;16.4;19.97
Rheinwald;3714;570;297;273;48.63;52.11;14.39;30.35
Masein;3663;531;257;274;41.37;48.4;25.61;20.34
Lantsch/Lenz;3513;518;260;258;47.89;50.19;16.41;27.41
Zillis-Reischen;3712;426;234;192;45.99;54.93;15.96;21.6
Muntogna da Schons;3715;368;188;180;45.49;51.09;20.65;25.82
Fürstenau;3633;353;162;191;46.53;45.89;17.28;26.91
Medel (Lucmagn);3983;328;165;163;51.7;50.3;7.62;28.66
Soazza;3823;324;171;153;53.28;52.78;7.72;33.64
Tschiertschen-Praden;3932;309;159;150;47.13;51.46;18.77;28.8
Rothenbrunnen;3637;304;164;140;43.92;53.95;20.39;23.36
Flerden;3662;255;126;129;42.96;49.41;20.39;20.78
Castaneda;3805;254;119;135;53.4;46.85;10.63;33.07
Conters im Prättigau;3881;224;114;110;46.89;50.89;19.64;26.79
Schmitten (GR);3514;205;114;91;52.71;55.61;11.22;36.59
Calanca;3837;204;106;98;54.06;51.96;10.29;38.24
Furna;3862;203;102;101;43.55;50.25;21.18;25.12
Madulain;3783;196;101;95;50.34;51.53;12.76;31.63
Avers;3681;169;79;90;44.75;46.75;21.89;29.59
Rossa;3808;168;94;74;55.6;55.95;6.55;39.88
Urmein;3670;163;82;81;52.06;50.31;17.18;39.26
Sufers;3695;147;78;69;44.62;53.06;25.17;26.53
Tschappina;3669;146;78;68;49.43;53.42;17.12;32.88
Santa Maria in Calanca;3810;113;61;52;57.18;53.98;6.19;39.82
Buseno;3804;91;43;48;57.44;47.25;5.49;38.46
Ferrera;3713;76;43;33;41.01;56.58;21.05;21.05
Rongellen;3711;59;33;26;45.64;55.93;15.25;25.42
